Temperature,Pulse,Disease
37.62178083193154,102,Possible Bacterial Infection
41.65500014486941,135,Severe Heat Stress
40.12395759267984,91,Moderate Heat Stress
39.190609389379254,135,Mild Heat Stress
36.09213048309706,171,Hypothermia
36.09196164235342,68,Hypothermia
35.4065852851774,75,Severe Hypothermia
41.06323302042455,52,Moderate Heat Stress
39.20780508220246,110,Mild Heat Stress
39.95650804457232,125,Moderate Heat Stress
35.14409146007062,67,Severe Hypothermia
41.78936896513396,105,Severe Heat Stress
40.82709848560295,84,Moderate Heat Stress
36.48637377474793,101,Hypothermia
36.27277477044971,173,Hypothermia
36.28383156897404,67,Hypothermia
37.129695700716766,67,Healthy
38.673295021425666,147,Mild Heat Stress
38.02361513049481,83,Healthy
37.038603981386295,123,Possible Bacterial Infection
39.282970263056654,69,Mild Heat Stress
35.97645702456429,114,Severe Hypothermia
37.04501253974653,167,Severe Tachycardia
37.56453290305584,131,Possible Bacterial Infection
38.19248988951925,168,Severe Tachycardia
40.496231729751095,160,Moderate Heat Stress
36.39771647510852,66,Hypothermia
38.59964106889528,160,Mild Heat Stress
39.146901982034294,155,Mild Heat Stress
35.325152889039984,42,Severe Hypothermia
39.25281396331007,142,Mild Heat Stress
36.19366886581104,176,Hypothermia
35.455361150896955,101,Severe Hypothermia
41.64219876077333,90,Severe Heat Stress
41.75942423152192,98,Severe Heat Stress
40.658781436815225,157,Moderate Heat Stress
37.132296384213596,135,Possible Bacterial Infection
35.68370479804469,152,Severe Hypothermia
39.7896311855851,101,Moderate Heat Stress
38.08106745617721,91,Healthy
35.85426764391345,51,Severe Hypothermia
38.46623837077889,78,Healthy
35.24071964780653,169,Severe Hypothermia
41.36524281455147,170,Moderate Heat Stress
36.81145987120012,152,Hypothermia
39.637655990477874,140,Moderate Heat Stress
37.18197753262588,152,Possible Bacterial Infection
38.64047614824467,120,Mild Heat Stress
38.82697195540296,152,Mild Heat Stress
36.293981188678686,41,Hypothermia
41.78709239435191,169,Severe Heat Stress
40.425929763527805,93,Moderate Heat Stress
41.57649259094932,126,Severe Heat Stress
41.263791452993544,168,Moderate Heat Stress
39.1852998516776,165,Mild Heat Stress
41.45311964516182,169,Moderate Heat Stress
35.619447514363436,92,Severe Hypothermia
36.371880036934016,107,Hypothermia
35.316591022373764,162,Severe Hypothermia
37.27731231534285,77,Healthy
37.72074102782637,63,Healthy
36.89944322241727,108,Hypothermia
40.8011625640635,155,Moderate Heat Stress
37.497273286855126,137,Possible Bacterial Infection
36.96654156781167,178,Hypothermia
38.79887258210774,136,Mild Heat Stress
35.98646957482334,163,Severe Hypothermia
40.615378865278274,109,Moderate Heat Stress
35.5218545057584,132,Severe Hypothermia
41.90820855620362,42,Severe Heat Stress
40.4057133850766,129,Moderate Heat Stress
36.39100977073921,135,Hypothermia
35.038654819865215,91,Severe Hypothermia
40.70822999918384,167,Moderate Heat Stress
39.94800140693332,78,Moderate Heat Stress
40.103050176286914,121,Moderate Heat Stress
40.39889242680162,143,Moderate Heat Stress
35.51831256213863,168,Severe Hypothermia
37.50926009980991,50,Possible Viral Infection
35.811083416675906,81,Severe Hypothermia
41.04172398112915,138,Moderate Heat Stress
39.3630868877929,46,Mild Heat Stress
37.31628617396854,129,Possible Bacterial Infection
35.44490845200217,151,Severe Hypothermia
37.176876252009635,99,Healthy
37.27628325418723,152,Possible Bacterial Infection
40.10724324836645,41,Moderate Heat Stress
39.462902299486494,168,Mild Heat Stress
41.21048919803429,87,Moderate Heat Stress
38.30550447613364,179,Severe Tachycardia
35.83715972156811,76,Severe Hypothermia
39.99271351056097,48,Moderate Heat Stress
40.325495340318284,138,Moderate Heat Stress
38.928940382986475,87,Mild Heat Stress
40.39677025968193,170,Moderate Heat Stress
38.45656917455074,93,Healthy
38.659129805673956,159,Mild Heat Stress
37.992787128509846,155,Possible Viral Infection
35.17793388720867,114,Severe Hypothermia
35.75523998895313,152,Severe Hypothermia
