Temperature,Pulse,Disease
40.61810178271044,174,Moderate Heat Stress
49.260714596148745,53,Severe Heat Stress
45.97990912717108,159,Severe Heat Stress
43.97987726295555,177,Severe Heat Stress
37.34027960663655,119,Severe Tachycardia
37.33991780504304,145,Severe Tachycardia
35.87125418252299,109,Severe Hypothermia
47.992642186624025,83,Severe Heat Stress
44.01672517614813,112,Severe Heat Stress
45.62108866694068,84,Severe Heat Stress
35.308767414437035,146,Severe Hypothermia
49.54864778242992,123,Severe Heat Stress
47.48663961200633,121,Severe Heat Stress
38.18508666017414,146,Severe Tachycardia
37.72737450810651,60,Healthy
37.751067647801506,46,Bradycardia
39.563633644393065,109,Moderate Heat Stress
42.871346474483566,166,Severe Heat Stress
41.47917527963173,159,Moderate Heat Stress
39.36843710297063,167,Mild Heat Stress
44.17779342083569,96,Severe Heat Stress
37.092407909780626,97,Severe Tachycardia
39.38216972802827,60,Mild Heat Stress
40.49542764940537,121,Moderate Heat Stress
41.84104976325554,108,Severe Heat Stress
46.777639420895206,170,Severe Heat Stress
37.9951067323754,126,Severe Tachycardia
42.71351657620417,88,Severe Heat Stress
43.88621853293064,154,Severe Heat Stress
35.69675619079997,128,Severe Hypothermia
44.11317277852157,124,Severe Heat Stress
37.557861855309376,167,Severe Tachycardia
35.975773894779195,179,Severe Hypothermia
49.2332830588,156,Severe Heat Stress
49.484480496118394,166,Severe Heat Stress
47.125960221746915,110,Severe Heat Stress
39.56920653760056,125,Moderate Heat Stress
36.46508171009576,72,Hypothermia
45.263495397682355,120,Severe Heat Stress
41.60228740609402,100,Severe Heat Stress
36.830573522671685,100,Hypothermia
42.427653651669054,137,Severe Heat Stress
35.515827816728276,67,Severe Hypothermia
48.639806031181735,82,Severe Heat Stress
38.881699724000256,125,Mild Heat Stress
44.93783426530973,56,Severe Heat Stress
39.67566614134117,137,Moderate Heat Stress
42.80102031766716,137,Severe Heat Stress
43.200654190149194,104,Severe Heat Stress
37.7728168328829,113,Severe Tachycardia
49.54376941646838,124,Severe Heat Stress
46.626992350416714,44,Severe Heat Stress
49.09248412346284,41,Severe Heat Stress
48.422410256414736,61,Severe Heat Stress
43.968499682166275,151,Severe Heat Stress
48.82811352534675,96,Severe Heat Stress
36.32738753077879,105,Hypothermia
37.939742936287175,113,Severe Tachycardia
35.678409333658074,137,Severe Hypothermia
39.879954961448966,151,Moderate Heat Stress
40.83015934534223,164,Moderate Heat Stress
39.07023547660844,125,Mild Heat Stress
47.43106263727894,115,Severe Heat Stress
40.35129990040384,127,Moderate Heat Stress
39.21401764531071,77,Mild Heat Stress
43.14044124737373,98,Severe Heat Stress
37.11386337462144,177,Severe Tachycardia
47.032954711310595,138,Severe Heat Stress
36.11825965519656,102,Hypothermia
49.803304049007764,88,Severe Heat Stress
46.58367153944986,71,Severe Heat Stress
37.98073522301259,174,Severe Tachycardia
35.082831756854034,60,Severe Hypothermia
47.23192142682251,59,Severe Heat Stress
45.60286015771426,166,Severe Heat Stress
45.93510752061481,107,Severe Heat Stress
46.569055200289185,149,Severe Heat Stress
36.110669776011356,155,Hypothermia
40.37698592816409,159,Moderate Heat Stress
36.738035892876944,118,Hypothermia
47.946551388133905,155,Severe Heat Stress
44.34947190241337,131,Severe Heat Stress
39.963470372789736,53,Moderate Heat Stress
35.95337525429036,164,Severe Hypothermia
39.66473482573493,97,Moderate Heat Stress
39.87774983040121,67,Moderate Heat Stress
45.94409267507096,65,Severe Heat Stress
44.563362070328196,152,Severe Heat Stress
48.3081911386449,105,Severe Heat Stress
42.08322387742924,170,Severe Heat Stress
36.79391368907453,83,Hypothermia
45.698671808344926,136,Severe Heat Stress
46.41177572925346,81,Severe Heat Stress
43.419157963542446,45,Severe Heat Stress
46.56450769931841,62,Severe Heat Stress
42.40693394546586,128,Severe Heat Stress
42.84099244072991,162,Severe Heat Stress
41.413115275378246,90,Moderate Heat Stress
35.38128690116143,50,Severe Hypothermia
36.61837140489957,51,Hypothermia
35.47143778530101,113,Severe Hypothermia
44.546156168956706,47,Severe Heat Stress
39.715339716144896,80,Moderate Heat Stress
42.62856036747054,124,Severe Heat Stress
48.613497108891394,111,Severe Heat Stress
38.73938343723312,94,Mild Heat Stress
41.155743845534445,176,Moderate Heat Stress
46.33326707814573,86,Severe Heat Stress
38.431972482374334,143,Severe Tachycardia
36.15469864743189,81,Hypothermia
39.34627179370652,99,Mild Heat Stress
37.41831930881007,51,Possible Viral Infection
48.9454647851386,169,Severe Heat Stress
47.12180569346626,46,Severe Heat Stress
44.50105634765635,119,Severe Heat Stress
48.07190885281577,170,Severe Heat Stress
47.05508115348672,148,Severe Heat Stress
37.79855088329054,42,Bradycardia
48.388384977349666,66,Severe Heat Stress
43.09013362873476,153,Severe Heat Stress
47.111602327460936,146,Severe Heat Stress
48.441369498852396,79,Severe Heat Stress
39.77005212457796,168,Moderate Heat Stress
36.65077886791515,47,Hypothermia
38.41902743812913,140,Severe Tachycardia
41.40661682939385,163,Moderate Heat Stress
47.27022148883739,146,Severe Heat Stress
47.910958748845154,140,Severe Heat Stress
35.10428195796786,43,Severe Hypothermia
42.661209538663485,149,Severe Heat Stress
41.261165047231685,58,Moderate Heat Stress
38.331617157060954,71,Healthy
36.79798051000524,176,Hypothermia
40.06422757105442,51,Moderate Heat Stress
49.14364555868779,178,Severe Heat Stress
39.84804398031133,85,Moderate Heat Stress
42.78185932615049,158,Severe Heat Stress
45.54528438342767,55,Severe Heat Stress
40.454444035689406,168,Moderate Heat Stress
49.57673124081441,102,Severe Heat Stress
49.43670942413167,148,Severe Heat Stress
38.77673443738046,158,Mild Heat Stress
42.458727588385784,60,Severe Heat Stress
39.513174647251546,52,Moderate Heat Stress
39.272607415662016,43,Mild Heat Stress
35.55330421031799,141,Severe Hypothermia
44.14346500969845,98,Severe Heat Stress
42.54018534843292,167,Severe Heat Stress
35.77218126874984,66,Severe Hypothermia
39.17969696354917,108,Mild Heat Stress
48.623988289499806,64,Severe Heat Stress
38.59342836000459,170,Mild Heat Stress
37.17342308136835,136,Severe Tachycardia
42.341791404163445,64,Severe Heat Stress
49.78475681165901,165,Severe Heat Stress
38.630829072672505,172,Mild Heat Stress
45.08203321108818,48,Severe Heat Stress
46.424294229930766,155,Severe Heat Stress
38.56456315988599,173,Mild Heat Stress
45.923245229177894,99,Severe Heat Stress
40.516746990788796,160,Moderate Heat Stress
44.48458745890369,178,Severe Heat Stress
44.50294566141342,147,Severe Heat Stress
43.03662026112138,147,Severe Heat Stress
36.354346550816125,170,Hypothermia
47.52953743383857,115,Severe Heat Stress
39.81170097457604,69,Moderate Heat Stress
37.79777765599781,60,Healthy
35.61162712332146,73,Severe Hypothermia
43.86339414782363,80,Severe Heat Stress
45.163465427634236,90,Severe Heat Stress
35.24881743391784,121,Severe Hypothermia
42.68139587448921,97,Severe Heat Stress
38.39743662796907,114,Severe Tachycardia
44.677591856141746,62,Severe Heat Stress
37.615496435074874,167,Severe Tachycardia
45.36406607153699,56,Severe Heat Stress
40.80103019450806,108,Moderate Heat Stress
49.050949831051014,147,Severe Heat Stress
37.0628141621899,178,Severe Tachycardia
40.11599526575388,133,Moderate Heat Stress
36.702102818608836,54,Hypothermia
48.87040427417844,130,Severe Heat Stress
48.160090300714714,72,Severe Heat Stress
38.869124415727335,164,Mild Heat Stress
44.899760690512686,55,Severe Heat Stress
47.25833300301824,105,Severe Heat Stress
43.32801217399194,86,Severe Heat Stress
42.9447586753401,163,Severe Heat Stress
38.62778436350678,40,Mild Heat Stress
36.39654151708849,126,Hypothermia
48.458236369299904,167,Severe Heat Stress
48.506270857449955,106,Severe Heat Stress
44.49652185909902,43,Severe Heat Stress
40.08544686573051,86,Moderate Heat Stress
40.23814361918991,77,Moderate Heat Stress
45.88933518305359,60,Severe Heat Stress
48.45665389928865,96,Severe Heat Stress
48.306296363976756,156,Severe Heat Stress
46.69813318786436,85,Severe Heat Stress
44.630474692314316,78,Severe Heat Stress
36.26209947492573,176,Hypothermia
37.424430711419205,138,Severe Tachycardia
48.47831282790619,116,Severe Heat Stress
44.09643589489385,154,Severe Heat Stress
35.13795577424944,173,Severe Hypothermia
36.52207314299048,130,Hypothermia
44.95252653662084,137,Severe Heat Stress
35.07592375769328,159,Severe Hypothermia
37.41212077126248,85,Possible Viral Infection
43.23100684049879,77,Severe Heat Stress
45.3784279653904,139,Severe Heat Stress
44.779418892539006,111,Severe Heat Stress
38.3640396419084,74,Healthy
45.68268832021304,69,Severe Heat Stress
38.558736312452,117,Mild Heat Stress
39.88099547238902,123,Moderate Heat Stress
46.19737107677037,152,Severe Heat Stress
44.74449348570822,64,Severe Heat Stress
47.738351157412666,127,Severe Heat Stress
44.86419338450515,53,Severe Heat Stress
43.524629050032075,141,Severe Heat Stress
36.405121517421385,122,Hypothermia
40.515737045891505,149,Moderate Heat Stress
38.97803551522588,170,Mild Heat Stress
38.65984465068625,58,Mild Heat Stress
49.59515832128668,67,Severe Heat Stress
40.89646587000141,110,Moderate Heat Stress
48.3806983276567,102,Severe Heat Stress
44.46707938995894,112,Severe Heat Stress
46.922169553124725,163,Severe Heat Stress
42.53955639657788,158,Severe Heat Stress
43.65355826939539,160,Severe Heat Stress
42.387765407282956,58,Severe Heat Stress
37.92864481697067,159,Severe Tachycardia
45.83678172892258,100,Severe Heat Stress
39.211585436612836,69,Mild Heat Stress
35.364739496471806,48,Severe Hypothermia
44.68208443860752,103,Severe Heat Stress
37.656660191105736,159,Severe Tachycardia
49.106878765293715,91,Severe Heat Stress
49.30892865503881,128,Severe Heat Stress
48.72296585330673,92,Severe Heat Stress
40.552380503831664,117,Moderate Heat Stress
35.23184924793301,80,Severe Hypothermia
48.92477843881588,107,Severe Heat Stress
41.422762224759715,47,Moderate Heat Stress
49.49982228565504,41,Severe Heat Stress
49.45429965633879,144,Severe Heat Stress
47.7951418320104,164,Severe Heat Stress
39.416733381043784,149,Mild Heat Stress
40.77646592902888,125,Moderate Heat Stress
47.76705007275285,159,Severe Heat Stress
39.75383007734416,166,Moderate Heat Stress
37.54239120029139,55,Possible Viral Infection
43.352018936875254,101,Severe Heat Stress
49.04232161241171,152,Severe Heat Stress
45.440446950124596,51,Severe Heat Stress
43.550917551340476,74,Severe Heat Stress
36.45764740656153,50,Hypothermia
44.22510840048754,103,Severe Heat Stress
49.85080775156395,89,Severe Heat Stress
37.10126022854786,108,Severe Tachycardia
42.77494478545605,87,Severe Heat Stress
48.16059607891933,59,Severe Heat Stress
46.11152926631307,140,Severe Heat Stress
45.45523611492902,176,Severe Heat Stress
45.53726125980664,107,Severe Heat Stress
40.392367268296326,74,Moderate Heat Stress
39.4038776639674,104,Mild Heat Stress
47.140417332177705,47,Severe Heat Stress
47.15170092018771,84,Severe Heat Stress
48.006084778701556,126,Severe Heat Stress
48.69860828834707,115,Severe Heat Stress
42.67013598291407,115,Severe Heat Stress
42.522744420307994,86,Severe Heat Stress
46.97442768450163,54,Severe Heat Stress
44.74945896166648,144,Severe Heat Stress
45.52950315886555,65,Severe Heat Stress
46.93689004154152,91,Severe Heat Stress
48.350080127263496,132,Severe Heat Stress
40.069927352773036,60,Moderate Heat Stress
40.63374428959916,90,Moderate Heat Stress
36.40972909761304,77,Hypothermia
43.67420211494261,59,Severe Heat Stress
35.53913410695113,171,Severe Hypothermia
41.983970271986905,94,Severe Heat Stress
43.13966952061365,131,Severe Heat Stress
39.298118781924266,67,Mild Heat Stress
43.86249890853516,43,Severe Heat Stress
35.45750374908574,115,Severe Hypothermia
35.560222831238214,106,Severe Hypothermia
47.33900840989487,125,Severe Heat Stress
40.40285962116894,130,Moderate Heat Stress
36.905907689778275,144,Hypothermia
42.83364890082207,40,Severe Heat Stress
46.54990329647916,111,Severe Heat Stress
38.237315412452645,126,Severe Tachycardia
44.343357137285004,45,Severe Heat Stress
36.28021197490652,100,Hypothermia
35.77522581752912,51,Severe Hypothermia
42.97031947352222,45,Severe Heat Stress
43.1095268241516,66,Severe Heat Stress
44.5614485224731,175,Severe Heat Stress
45.891370005839924,163,Severe Heat Stress
49.63778119193802,145,Severe Heat Stress
42.74450522451793,132,Severe Heat Stress
39.84434709411869,148,Moderate Heat Stress
46.92779292153055,138,Severe Heat Stress
39.062483768931116,74,Mild Heat Stress
41.58457131058454,123,Severe Heat Stress
36.17684572013399,95,Hypothermia
35.38026115123186,88,Severe Hypothermia
49.43972622016888,85,Severe Heat Stress
47.53970180768309,152,Severe Heat Stress
45.43961309140547,175,Severe Heat Stress
41.13429416621405,82,Moderate Heat Stress
37.599414801062686,163,Severe Tachycardia
37.34655564006629,136,Severe Tachycardia
38.75364347246893,129,Mild Heat Stress
43.23839997059181,78,Severe Heat Stress
45.71893884050093,124,Severe Heat Stress
44.90296065076597,101,Severe Heat Stress
39.19900845418914,145,Mild Heat Stress
49.32297920994791,146,Severe Heat Stress
46.068453750436525,93,Severe Heat Stress
43.31531078767101,165,Severe Heat Stress
44.17581119351529,48,Severe Heat Stress
41.29400093641685,127,Moderate Heat Stress
38.715964842517366,76,Mild Heat Stress
40.339590179768926,88,Moderate Heat Stress
46.36769165696553,80,Severe Heat Stress
35.21590232944634,56,Severe Hypothermia
36.74108960760374,127,Hypothermia
35.69003963032629,60,Severe Hypothermia
35.610932034784554,90,Severe Hypothermia
47.831908760165106,98,Severe Heat Stress
45.55486789070036,80,Severe Heat Stress
42.11260743630988,78,Severe Heat Stress
36.46751240976502,50,Hypothermia
42.37423812675249,178,Severe Heat Stress
42.102076561708486,116,Severe Heat Stress
37.59802804865023,166,Severe Tachycardia
41.507774738569594,85,Severe Heat Stress
40.9775710159606,84,Moderate Heat Stress
44.237751470783245,40,Severe Heat Stress
44.526404763014654,147,Severe Heat Stress
35.67956014658067,58,Severe Hypothermia
